name,city,iata_code,icao,latitude,longitude,url,city_code,country,state,county
Anaa,,AAA,NTGA,-17.3506654,-145.51111994065877,,AAA,PF,,
Arrabury Airport,Tanbar,AAB,YARY,-26.6967835,141.049092,,AAB,AU,Queensland,Barcoo Shire
El Arish International Airport,Arish,AAC,HEAR,31.0742836,33.829171518733695,,AAC,EG,Muhafazat Shamal Sina',
Adado Airport,Adado,AAD,HCAD,6.09628635,46.637708371259194,,AAD,SO,,
Les Salines Airport,El Hadjar,AAE,DABB,36.821392,7.811857,,AAE,DZ,Annaba,
Apalachicola Regional,Apalachicola,AAF,KAAF,29.7302356,-85.02964472072705,,AAF,US,Florida,Franklin County
Arapoti,Jaguariaiva,AAG,SSYA,-24.1037812,-49.78949435424242,,AAG,BR,Parana,Jaguariaiva
Aachen/Merzbruck,,AAH,EDKA,50.75,6.133333,https://www.flugplatz-aachen.de,AAH,DE,,
Arraias,Campos Belos,AAI,SWRA,-12.916667,-46.933334,,AAI,BR,Goias,Campos Belos
Cayana Airstrip,Kajana,AAJ,SMCA,3.8987445,-55.5779688,,AAJ,SR,Sipaliwini,Boven Suriname
Aranuka,,AAK,NGUK,0.166667,173.58333,,AAK,KI,,
Aalborg Airport,Vadum,AAL,EKYT,57.0864352,9.868075521300991,http://www.aal.dk,AAL,DK,North Denmark,Alborg Kommune
Mala Mala,,AAM,FAMD,-24.8,31.533333,,AAM,ZA,,
Al Ain Airport,,AAN,OMAL,24.260231,55.616627,,AAN,AE,,
Anaco,Anaco,AAO,SVAN,9.4298739,-64.47086334549915,,AAO,VE,Anzoategui,Municipio Anaco
Andrau Airpark,,AAP,WALS,29.833332,-95.666664,http://www.proyek.dishubprovkaltim.info/?pro=1,HOU,US,,
Anapa Airport,Anapa,AAQ,URKA,45.00265265,37.34498313723325,http://basel.aero/en/anapa/,AAQ,RU,Krasnodarskiy,
Aarhus Airport,Ebeltoft,AAR,EKAH,56.304542549999994,10.612849817576597,http://www.aar.dk/default.asp?id=87,AAR,DK,Central Jutland,Syddjurs Kommune
Apalapsili,,AAS,,-3.880849,139.3107060627146,,AAS,ID,,
Altay Airport,Awiytan,AAT,ZWAT,47.74833705,88.08948249042332,,AAT,CN,Xinjiang Uygur Zizhiqu,
Asau,Asau,AAU,NSAU,-13.458333,-172.6,,AAU,WS,Vaisigano,
Allah Valley,Surallah,AAV,RPMA,6.36768745,124.75266160348093,,AAV,PH,South Cotabato,
Abbottabad,Abbottabad,AAW,OPAB,34.2,73.25,,AAW,PK,Khyber Pakhtunkhwa,
Araxa Airport,Araxa,AAX,SBAX,-19.563132000000003,-46.96040575380038,,AAX,BR,Minas Gerais,Araxa
Al Ghaydah,Al Ghayzah,AAY,OYGD,16.1879658,52.17271501755243,,AAY,YE,Al Mahrah,Al Ghaydah
